Date,Open,High,Low,Close,Volume,Market Cap,Return,Trend,Cum_Return
2013-04-29,134.44,147.49,134.0,144.54,0,1603768865,0.0769689292899187,1,0.07696892928991872
2013-04-30,144.0,146.93,134.05,139.0,0,1542813125,-0.0383284903832849,0,0.0356903360405334
2013-05-01,139.0,139.89,107.72,116.99,0,1298954594,-0.1583453237410071,0,-0.12830638551523732
2013-05-02,116.38,125.6,92.28,105.21,0,1168517495,-0.1006923668689632,0,-0.21607927874226962
2013-05-03,106.25,108.13,79.1,97.75,0,1085995169,-0.0709058074327534,0,-0.2716638104463154
2013-05-04,98.1,115.0,92.5,112.5,0,1250316563,0.1508951406649616,1,-0.16176141867222993
2013-05-05,112.9,118.8,107.14,115.91,0,1288693176,0.0303111111111111,1,-0.13635347589598368
2013-05-06,115.98,124.66,106.64,112.3,0,1249023060,-0.0311448537658528,0,-0.16325162059459042
2013-05-07,112.25,113.44,97.7,111.5,0,1240593600,-0.0071237756010685,0,-0.16921242828403227
2013-05-08,109.6,115.78,109.6,113.57,0,1264049202,0.0185650224215245,1,-0.15378883838760138
2013-05-09,113.2,113.46,109.26,112.67,0,1254535382,-0.0079246279827418,0,-0.16049474703822353
2013-05-10,112.8,122.0,111.55,117.2,0,1305479080,0.0402059110677199,1,-0.12674167349675858
2013-05-11,117.7,118.68,113.01,115.24,0,1284207489,-0.0167235494880546,0,-0.14134565233589136
2013-05-12,115.64,117.45,113.43,115.0,0,1281982625,-0.0020826102047899,0,-0.14313389464272386
2013-05-13,114.82,118.7,114.5,117.98,0,1315710011,0.0259130434782608,1,-0.12092988599955268
2013-05-14,117.98,119.8,110.25,111.5,0,1243874488,-0.0549245634853364,0,-0.16921242828403216
2013-05-15,111.4,115.81,103.5,114.22,0,1274623813,0.0243946188340806,1,-0.14894568213992965
2013-05-16,114.22,118.76,112.2,118.76,0,1325726787,0.0397478550166345,1,-0.11511809850234678
2013-05-17,118.21,125.3,116.57,123.01,0,1373723882,0.0357864600875714,1,-0.08345130765218667
2013-05-18,123.5,125.25,122.3,123.5,0,1379574546,0.0039834159824403,1,-0.07980031294240364
2013-05-19,123.21,124.5,119.57,121.99,0,1363204703,-0.0122267206477733,0,-0.09105133745622529
2013-05-20,122.5,123.62,120.12,122.0,0,1363709900,8.19739322894808e-05,1,-0.09097682736010726
2013-05-21,122.02,123.0,121.21,122.88,0,1374013440,0.0072131147540983,1,-0.08441993890172117
2013-05-22,122.89,124.0,122.0,123.89,0,1385778993,0.0082194010416667,1,-0.07689441919380069
2013-05-23,123.8,126.93,123.1,126.7,0,1417769833,0.02268141092905,1,-0.0559570821846358
2013-05-24,126.3,133.85,125.72,133.2,0,1491070770,0.0513022888713494,1,-0.0075255197079203695
2013-05-25,133.1,133.22,128.9,131.98,0,1477958233,-0.0091591591591591,0,-0.01661575143431926
2013-05-26,131.99,136.0,130.62,133.48,0,1495293015,0.0113653583876345,1,-0.005439237016615639
2013-05-27,133.5,135.46,124.7,129.74,0,1454029510,-0.0280191789032063,0,-0.03330601296475644
2013-05-28,129.77,130.58,125.6,129.0,0,1446189975,-0.0057037151225528,0,-0.03881976007749022
2013-05-29,129.0,132.59,127.66,132.3,0,1483734578,0.0255813953488373,1,-0.014231428358542186
2013-05-30,132.25,132.25,127.0,128.8,0,1445053941,-0.0264550264550263,0,-0.040309961999850374
2013-05-31,128.8,129.9,126.4,129.0,0,1447870200,0.0015527950310558,1,-0.038819760077489884
2013-06-01,128.82,129.78,127.2,129.3,0,1451916165,0.0023255813953488,1,-0.036584457193949094
2013-06-02,129.3,129.4,115.05,122.29,0,1373837500,-0.054215003866976,0,-0.08881603457268394
2013-06-03,122.5,122.5,116.0,122.22,0,1373708058,-0.0005724098454493,0,-0.08933760524551004
2013-06-04,120.74,123.84,119.1,121.42,0,1365337545,-0.0065455735558828,0,-0.09529841293495189
2013-06-05,121.4,123.47,119.9,121.65,0,1368486469,0.0018942513589195,1,-0.09358468072423731
2013-06-06,121.9,123.1,117.25,118.0,0,1327960200,-0.0300041101520757,0,-0.12078086580731617
2013-06-07,118.97,119.0,106.42,111.5,0,1255258638,-0.0550847457627118,0,-0.16921242828403182
2013-06-08,111.0,111.42,107.3,108.3,0,1219717920,-0.0286995515695067,0,-0.19305565904179944
2013-06-09,107.89,108.99,88.5,100.0,0,1126642500,-0.0766389658356416,0,-0.2548990388197593
2013-06-10,100.44,110.1,95.0,106.35,0,1198638945,0.0634999999999998,1,-0.20758512778481408
2013-06-11,106.35,109.6,104.0,108.9,0,1227874725,0.0239774330042314,1,-0.18858505327471775
2013-06-12,109.0,111.79,106.73,108.15,0,1219969853,-0.0068870523415978,0,-0.19417331048356956
2013-06-13,108.78,110.3,100.53,104.0,0,1173637400,-0.0383726306056403,0,-0.2250950003725496
2013-06-14,103.95,104.7,98.0,99.98,0,1128709292,-0.0386538461538461,0,-0.25504805901199523
2013-06-15,100.0,103.7,98.0,99.99,0,1129245604,0.0001000200040006,1,-0.2549735489158773
2013-06-16,99.8,101.6,98.95,99.51,0,1124306272,-0.0048004800480047,0,-0.2585500335295424
2013-06-17,99.9,102.21,99.0,101.7,0,1149418485,0.0220078384082,1,-0.24223232247969517
2013-06-18,101.95,111.11,101.03,107.4,0,1214216070,0.056047197640118,1,-0.19976156769242148
2013-06-19,107.05,110.22,105.75,108.25,0,1224193838,0.0079143389199254,1,-0.19342820952238948
2013-06-20,108.25,114.3,107.5,110.15,0,1246104920,0.0175519630484988,1,-0.17927129125996488
2013-06-21,111.29,114.99,107.68,109.5,0,1239214238,-0.0059010440308669,0,-0.1841144475076364
2013-06-22,109.5,109.96,107.51,108.3,0,1226110328,-0.0109589041095891,0,-0.19305565904179933
2013-06-23,108.2,108.8,106.23,107.6,0,1218626490,-0.0064635272391505,0,-0.198271365770061
2013-06-24,107.9,108.33,100.98,102.74,0,1163935726,-0.0451672862453531,0,-0.2344832724834207
2013-06-25,102.09,106.47,101.01,103.95,0,1178086140,0.0117773019271949,1,-0.22546755085313974
2013-06-26,103.33,105.49,102.79,104.0,0,1179105200,0.0004810004810005,1,-0.2250950003725496
2013-06-27,104.0,104.0,101.1,101.44,0,1150468023,-0.0246153846153845,0,-0.24416958497876362
2013-06-28,101.74,101.74,92.33,94.65,0,1073887457,-0.0669361198738169,0,-0.2947619402429018
2013-06-29,94.66,99.99,93.0,94.99,0,1078198524,0.003592181722134,1,-0.2922285969748891
2013-06-30,95.0,98.12,94.22,96.61,0,1096957771,0.0170544267817664,1,-0.28015796140376925
2013-07-01,97.51,97.66,86.3,88.05,0,1000065296,-0.0886036642169547,0,-0.34393860368079787
